source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,MESSy_EMAC-L47MA-refC2,tco3_zm,CF-1.4,ccmi,blue,solid,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/MESSy/EMAC-L47MA/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,MESSy_EMAC-L90MA-refC2,tco3_zm,CF-1.4,ccmi,blue,dotted,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/MESSy/EMAC-L90MA/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,MESSy_EMAC-L90MA-senC2fGHG,tco3_zm,CF-1.4,ccmi,blue,dotted,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/MESSy/EMAC-L90MA/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,MOHC_HadGEM3-ES-refC2,tco3_zm,CF-1.4,ccmi,purple,dotted,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/MOHC/HadGEM3-ES/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,MRI_ESM1r1-refC2,tco3_zm,CF-1.4,ccmi,orange,dotted,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/MRI/MRI-ESM1r1/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-refC2,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2fCH4,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2fCH4/mon/atmos/monthly/r1i1p1/v3/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2fGHG,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2fN2O,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2fN2O/mon/atmos/monthly/r1i1p1/v3/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2fODS,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc 
